source,target,sentence,document,relationship_type
Kosovo,Intérimaire des Nations,"1 -3 UNITED NATIONS 
United Nations Interim 
Administration Mission in 
Kosovo 
  
UNMIK NATIONS UNIES 
Mission d’Administration 
Intérimaire des Nations Unies 
au Kosovo  
Investigation Task Force 
 
Alleged Irregularities Related to an UNMIK Bank Acc ount 1110019243020132-1  
(Case No. 0221/04)  
 
I.  INTRODUCTION 
 
1.",52.pdf,contextual
Intérimaire des Nations,Kosovo,"1 -3 UNITED NATIONS 
United Nations Interim 
Administration Mission in 
Kosovo 
  
UNMIK NATIONS UNIES 
Mission d’Administration 
Intérimaire des Nations Unies 
au Kosovo  
Investigation Task Force 
 
Alleged Irregularities Related to an UNMIK Bank Acc ount 1110019243020132-1  
(Case No. 0221/04)  
 
I.  INTRODUCTION 
 
1.",52.pdf,contextual
Kosovo,"Investigation Task Force 
 
Alleged Irregularities","1 -3 UNITED NATIONS 
United Nations Interim 
Administration Mission in 
Kosovo 
  
UNMIK NATIONS UNIES 
Mission d’Administration 
Intérimaire des Nations Unies 
au Kosovo  
Investigation Task Force 
 
Alleged Irregularities Related to an UNMIK Bank Acc ount 1110019243020132-1  
(Case No. 0221/04)  
 
I.  INTRODUCTION 
 
1.",52.pdf,contextual
"Investigation Task Force 
 
Alleged Irregularities",UNMIK Bank Acc,"1 -3 UNITED NATIONS 
United Nations Interim 
Administration Mission in 
Kosovo 
  
UNMIK NATIONS UNIES 
Mission d’Administration 
Intérimaire des Nations Unies 
au Kosovo  
Investigation Task Force 
 
Alleged Irregularities Related to an UNMIK Bank Acc ount 1110019243020132-1  
(Case No. 0221/04)  
 
I.  INTRODUCTION 
 
1.",52.pdf,contextual
UNMIK Bank Acc,"I.  INTRODUCTION 
 
","1 -3 UNITED NATIONS 
United Nations Interim 
Administration Mission in 
Kosovo 
  
UNMIK NATIONS UNIES 
Mission d’Administration 
Intérimaire des Nations Unies 
au Kosovo  
Investigation Task Force 
 
Alleged Irregularities Related to an UNMIK Bank Acc ount 1110019243020132-1  
(Case No. 0221/04)  
 
I.  INTRODUCTION 
 
1.",52.pdf,contextual
The Investigation Task Force,Kosovo,"The Investigation Task Force (ITF) Kosovo conducted  an investigation into 
the circumstances surrounding a UNMIK Bank Account opened at a Bank in 
Pristina.",52.pdf,contextual
Kosovo,UNMIK Bank Account,"The Investigation Task Force (ITF) Kosovo conducted  an investigation into 
the circumstances surrounding a UNMIK Bank Account opened at a Bank in 
Pristina.",52.pdf,contextual
UNMIK Bank Account,Bank,"The Investigation Task Force (ITF) Kosovo conducted  an investigation into 
the circumstances surrounding a UNMIK Bank Account opened at a Bank in 
Pristina.",52.pdf,contextual
"the Kosovo Trust 
Agency",UNMIK Pillar IV,"The activities of the Pristina Airport fall under t he control of the Kosovo Trust 
Agency (KTA) and UNMIK Pillar IV, which is administ ered by the European 
Union.",52.pdf,contextual
UNMIK Pillar IV,"the European 
Union","The activities of the Pristina Airport fall under t he control of the Kosovo Trust 
Agency (KTA) and UNMIK Pillar IV, which is administ ered by the European 
Union.",52.pdf,contextual
UNMIK,PISG,"Investigations into allegations of fraud and  corruption involving 
UNMIK, its pillars and other organizational structu res as well as the 
Provisional Institutions of Self-Government (PISG) and independent bodies 
and offices established pursuant to the Constitutio nal Framework for 
Provisional Self-Government in Kosovo fall within t he purview of ITF as laid 
out by the Executive Decision on the Establishment of the Investigation Task 
Force UNMIK/ED/2003/16, dated 21 October 2003. 
 
II.  APPLICABLE TERRITORIAL LAWS:  
 
3.",52.pdf,contextual
PISG,Constitutio,"Investigations into allegations of fraud and  corruption involving 
UNMIK, its pillars and other organizational structu res as well as the 
Provisional Institutions of Self-Government (PISG) and independent bodies 
and offices established pursuant to the Constitutio nal Framework for 
Provisional Self-Government in Kosovo fall within t he purview of ITF as laid 
out by the Executive Decision on the Establishment of the Investigation Task 
Force UNMIK/ED/2003/16, dated 21 October 2003. 
 
II.  APPLICABLE TERRITORIAL LAWS:  
 
3.",52.pdf,contextual
Constitutio,Provisional Self-Government,"Investigations into allegations of fraud and  corruption involving 
UNMIK, its pillars and other organizational structu res as well as the 
Provisional Institutions of Self-Government (PISG) and independent bodies 
and offices established pursuant to the Constitutio nal Framework for 
Provisional Self-Government in Kosovo fall within t he purview of ITF as laid 
out by the Executive Decision on the Establishment of the Investigation Task 
Force UNMIK/ED/2003/16, dated 21 October 2003. 
 
II.  APPLICABLE TERRITORIAL LAWS:  
 
3.",52.pdf,contextual
Provisional Self-Government,Kosovo,"Investigations into allegations of fraud and  corruption involving 
UNMIK, its pillars and other organizational structu res as well as the 
Provisional Institutions of Self-Government (PISG) and independent bodies 
and offices established pursuant to the Constitutio nal Framework for 
Provisional Self-Government in Kosovo fall within t he purview of ITF as laid 
out by the Executive Decision on the Establishment of the Investigation Task 
Force UNMIK/ED/2003/16, dated 21 October 2003. 
 
II.  APPLICABLE TERRITORIAL LAWS:  
 
3.",52.pdf,contextual
Kosovo,the Executive Decision,"Investigations into allegations of fraud and  corruption involving 
UNMIK, its pillars and other organizational structu res as well as the 
Provisional Institutions of Self-Government (PISG) and independent bodies 
and offices established pursuant to the Constitutio nal Framework for 
Provisional Self-Government in Kosovo fall within t he purview of ITF as laid 
out by the Executive Decision on the Establishment of the Investigation Task 
Force UNMIK/ED/2003/16, dated 21 October 2003. 
 
II.  APPLICABLE TERRITORIAL LAWS:  
 
3.",52.pdf,contextual
United Nations Security Co,"United Nation s Interim 
Administration Mission","Pursuant to the authority given to The Special Repr esentative of the 
Secretary-General, under United Nations Security Co uncil resolution 1244 
(1999)  of 10 June 1999, taking into account United Nation s Interim 
Administration Mission in Kosovo (UNMIK)",52.pdf,contextual
"United Nation s Interim 
Administration Mission",Kosovo,"Pursuant to the authority given to The Special Repr esentative of the 
Secretary-General, under United Nations Security Co uncil resolution 1244 
(1999)  of 10 June 1999, taking into account United Nation s Interim 
Administration Mission in Kosovo (UNMIK)",52.pdf,contextual
Kosovo,UNMIK,"Pursuant to the authority given to The Special Repr esentative of the 
Secretary-General, under United Nations Security Co uncil resolution 1244 
(1999)  of 10 June 1999, taking into account United Nation s Interim 
Administration Mission in Kosovo (UNMIK)",52.pdf,contextual
the Authority of the Interim Administration,Kosovo,"Regulation No. 1999/ 1 of 25 July 
1999 on the Authority of the Interim Administration  in Kosovo, for the 
purpose of defining the law applicable in Kosovo, t he SRSG promulgated that 
the law applicable in Kosovo shall be: 
 
a.",52.pdf,contextual
Kosovo,Kosovo,"Regulation No. 1999/ 1 of 25 July 
1999 on the Authority of the Interim Administration  in Kosovo, for the 
purpose of defining the law applicable in Kosovo, t he SRSG promulgated that 
the law applicable in Kosovo shall be: 
 
a.",52.pdf,contextual
Kosovo,Kosovo,"Regulation No. 1999/ 1 of 25 July 
1999 on the Authority of the Interim Administration  in Kosovo, for the 
purpose of defining the law applicable in Kosovo, t he SRSG promulgated that 
the law applicable in Kosovo shall be: 
 
a.",52.pdf,contextual
"the Provisional 
Criminal Code of",Kosovo,"The ITF Investigators considered possible breaches of the Provisional 
Criminal Code of Kosovo , especially Article 339 (Abusing Official Position  of 
Authority); Article 340 (Misappropriation in Office ) and Article 341 (Fraud in 
Office).  
 
 ",52.pdf,contextual
The DCDM Audit Report,UNMIK Bank Account,"The DCDM Audit Report 2002/3 highlighted a possible  problem with a 
UNMIK Bank Account, which has been termed the “Comp any Account”.",52.pdf,contextual
Contract,Compan,"As of 03 March 
2004, this Contract was amended, so that the Compan y also commenced 
supplying aviation fuel and refuelling services to military and non-
commercial aircrafts. 
 
",52.pdf,contextual
Company,UNMIK Bank Subject,"Based on this contract, the Company has been making  payments to UNMIK 
that are being deposited to an UNMIK Bank Subject A ccount, opened at a 
Bank in Pristina.",52.pdf,contextual
UNMIK Bank Subject,Pristina,"Based on this contract, the Company has been making  payments to UNMIK 
that are being deposited to an UNMIK Bank Subject A ccount, opened at a 
Bank in Pristina.",52.pdf,contextual
Bank,Internationa l Money Transfer,"The Bank Account was opened with the Bank on 11 Oct ober 2001 and the first 
payment was made by way of an incoming Internationa l Money Transfer 
(IMT) in the sum of € 45,105.23 on 17 April 2002.",52.pdf,contextual
Account,UNMIK Ba nk Account,"Staff  Member 2 was also 
informed that the Account was currently an UNMIK Ba nk Account and that 
Pristina Airport did not have full control over the  use of this account.  
 
",52.pdf,contextual
the Chartered Accountants - “,UNMIK Bank Account,"The allegation that had been made by the Chartered Accountants - “interest 
from this account was going to an unidentified priv ate account ” was found to be 
without merit, given that the terms and conditions this UNMIK Bank Account 
does not generate any interest.  ",52.pdf,contextual
Investigat,Account,"The ITF Investigat ors further established that 
there were no withdrawals from this Account; the on ly debits were a variety 
of bank charges.  
 ",52.pdf,contextual
UNMIK,Air BP,"The funds 
deposited to this account are being generated exclu sively from the Pristina 
Airport through a contract between UNMIK and Air BP .",52.pdf,contextual
ITF,the Chartered Accountants,"The investigation conducted by the ITF established that allegations made by 
the Chartered Accountants in their Audit Report 200 2/3 related to the 
UNMIK Bank Subject Account were without merit.",52.pdf,contextual
the Chartered Accountants,UNMIK Bank Subject Account,"The investigation conducted by the ITF established that allegations made by 
the Chartered Accountants in their Audit Report 200 2/3 related to the 
UNMIK Bank Subject Account were without merit.",52.pdf,contextual
ITF,Sub,"The ITF investigation 
clearly proved that the funds deposited on this Sub ject UNMIK Bank Account 
were generated by a legitimate business sanctioned by a valid contract 
between UNMIK and the Air BP.",52.pdf,contextual
Sub,UNMIK Bank Account,"The ITF investigation 
clearly proved that the funds deposited on this Sub ject UNMIK Bank Account 
were generated by a legitimate business sanctioned by a valid contract 
between UNMIK and the Air BP.",52.pdf,contextual
UNMIK Bank Account,UNMIK,"The ITF investigation 
clearly proved that the funds deposited on this Sub ject UNMIK Bank Account 
were generated by a legitimate business sanctioned by a valid contract 
between UNMIK and the Air BP.",52.pdf,contextual
UNMIK,the Air BP,"The ITF investigation 
clearly proved that the funds deposited on this Sub ject UNMIK Bank Account 
were generated by a legitimate business sanctioned by a valid contract 
between UNMIK and the Air BP.",52.pdf,contextual
ITF,UNMIK Bank Account,"The ITF did not find evidence that would indicate a ny illegalities related to 
this UNMIK Bank Account.",52.pdf,contextual
Kosovo,UNMIK Bank Accounts,"Upon his/her 
departure from Kosovo, the right of ”A” signatory f or this account (and other 
UNMIK Bank Accounts) was formally transferred to ot her authorised 
individuals. 
 
",52.pdf,contextual
UNMIK Pillar,"the Subject UNMIK Bank 
Account","RECOMMENDATIONS  
 
Recommendation 01 : UNMIK Pillar 4 – KTA should, without any further 
delay, resolve the dispute over the legal ownership  of the Subject UNMIK Bank 
Account.",52.pdf,contextual
"U N I E S 
Mission d’Administration Intérimaire",Kosovo,"U N I E S 
Mission d’Administration Intérimaire 
des Nations Unies au Kosovo 
 
UNMIK  
  
 Investigation Task Force 
 
          16 August 2004  
 
REPORT ON ALLEGATIONS OF EVASION OF PRISTINA AIRPORT CHA RGES 
(ITF CASE NO.  0262/04) 
 
 
I. INTRODUCTION  
 
1.  ",47.pdf,contextual
the Immigration Department,Pristina,"A representative of the Immigration Department and 25 or more “Securicor” security 
staff routinely escort the passengers on the flight s to Pristina.  
 
",47.pdf,contextual
Pristina,UNMIK CIVPOL,"On the return leg to the mentioned state, the Airli ne flight carries passengers from 
Pristina, consisting of the returning Securicor esc orts, the representative of 
Immigration, and in addition, a number of police of ficers of the concerned state 
currently working for UNMIK CIVPOL.",47.pdf,contextual
UK,approva l,"These CIVPOL off icers travel to the UK 
without payment, but with the knowledge and approva l of both Airline and the U.K. 
Immigration Department.  
 
",47.pdf,contextual
approva l,"the U.K. 
Immigration Department","These CIVPOL off icers travel to the UK 
without payment, but with the knowledge and approva l of both Airline and the U.K. 
Immigration Department.  
 
",47.pdf,contextual
Offi,"the Aircraft ""Load Sheets","ITF Investigators spoke to both Official 1 and Offi cial 2 of the Airline and requested 
copies of receipts issued by Pristina Airport in re spect of fees paid by the Airline to 
the airport, as well as the Aircraft ""Load Sheets"" for May and June 2004.",47.pdf,contextual
Kosovar,Immigration Department,"It was noted 
that whilst the arriving Kosovar passengers went th rough immigration procedures 
before entering into the arrivals lounge, the 25 se curity escorts and the representative 
of the related Immigration Department remained airs ide at all times awaiting 
instructions to return to the aircraft.",47.pdf,contextual
UNMIK CIVPOL,Immigration,"Their 
identities were checked against a list provided by an UNMIK CIVPOL officer in 
consultation with the Immigration representative.",47.pdf,contextual
ITF,"the Airline ""Load Sheets","The pilot is required to sign the receipt book, and  the ITF verified the recorded 
signature against the Airline ""Load Sheets"" as genu ine. 
 
11.  ",47.pdf,contextual
the Airpor t Handling Services Department,p,"The charges themselves, as calculated by the Airpor t Handling Services Department 
for Airline flights, were scrutinized against the p ublished ""Price List for Basic Airport 
Services"" issued on 1 January 2002. 
 
",47.pdf,contextual
U.K. Immigration,UK,"H e/She explained that the security 
guards and U.K. Immigration staff who remained airs ide awaiting return to the UK 
had not technically entered the Airport and as such  were not liable for airport taxes.",47.pdf,contextual
ITF,Management Letter,"The ITF reviewed the conventional check-in procedur es at the Pristina Airport and 
confirmed they complied with observations provided by the Senior Official of the 
Pristina Airport in response to a Management Letter  dated May 2004 on the 2003 
Financial Audit from auditing company.",47.pdf,contextual
the Prist ina Airport,the Passenger Handling Services Department,"The recently appointed Senior Official of the Prist ina Airport, when advised by the 
ITF of the number of cash transactions, was unaware  that this practice continued 
within the Passenger Handling Services Department.  
 
",47.pdf,contextual
Airport Pristina Management Group,the Office for Coordination of Oversight of Publicly -Owned Enterprises,"Recommendation No. 3:  Airport Pristina Management Group review the matte rs 
raised in this report and provide a written respons e to the issues described herein to 
the Office for Coordination of Oversight of Publicly -Owned Enterprises 
(IV04/262/03).",47.pdf,contextual
the Office for Coordination of Oversight of Publicly -Owned Enterprises,IV04/262/03,"Recommendation No. 3:  Airport Pristina Management Group review the matte rs 
raised in this report and provide a written respons e to the issues described herein to 
the Office for Coordination of Oversight of Publicly -Owned Enterprises 
(IV04/262/03).",47.pdf,contextual
UNITED NATIONS,Kosovo,"1  
 UNITED NATIONS  
   United Nations Interim     
   Administration Mission  
in Kosovo   
UNMIK NATIONS UNIES  
Mission d’Administration 
Intérimaire des Nations    
       Unies au Kosovo  
 
UNMIK 
Investigation Task Force  
 
  Pristina, 13 December 2004 
 
 
Case 285/04  
       
 
Pristina Airport – Possible administrative irregula rity regarding tender procedures involving 
Vendor 1 and Vendor 2  
 
 
Allegation 
Two companies with the same owner took part at leas t three times in the same Airport tenders. 
 
",1.pdf,contextual
Kosovo,"Intérimaire des Nations    
       Unies","1  
 UNITED NATIONS  
   United Nations Interim     
   Administration Mission  
in Kosovo   
UNMIK NATIONS UNIES  
Mission d’Administration 
Intérimaire des Nations    
       Unies au Kosovo  
 
UNMIK 
Investigation Task Force  
 
  Pristina, 13 December 2004 
 
 
Case 285/04  
       
 
Pristina Airport – Possible administrative irregula rity regarding tender procedures involving 
Vendor 1 and Vendor 2  
 
 
Allegation 
Two companies with the same owner took part at leas t three times in the same Airport tenders. 
 
",1.pdf,contextual
"Intérimaire des Nations    
       Unies",Kosovo,"1  
 UNITED NATIONS  
   United Nations Interim     
   Administration Mission  
in Kosovo   
UNMIK NATIONS UNIES  
Mission d’Administration 
Intérimaire des Nations    
       Unies au Kosovo  
 
UNMIK 
Investigation Task Force  
 
  Pristina, 13 December 2004 
 
 
Case 285/04  
       
 
Pristina Airport – Possible administrative irregula rity regarding tender procedures involving 
Vendor 1 and Vendor 2  
 
 
Allegation 
Two companies with the same owner took part at leas t three times in the same Airport tenders. 
 
",1.pdf,contextual
Kosovo,"UNMIK 
Investigation Task Force  
 
  Pristina","1  
 UNITED NATIONS  
   United Nations Interim     
   Administration Mission  
in Kosovo   
UNMIK NATIONS UNIES  
Mission d’Administration 
Intérimaire des Nations    
       Unies au Kosovo  
 
UNMIK 
Investigation Task Force  
 
  Pristina, 13 December 2004 
 
 
Case 285/04  
       
 
Pristina Airport – Possible administrative irregula rity regarding tender procedures involving 
Vendor 1 and Vendor 2  
 
 
Allegation 
Two companies with the same owner took part at leas t three times in the same Airport tenders. 
 
",1.pdf,contextual
Kosovo,Vendor 2 Represent,"Background Information 
The Kosovo citizen, Vendor 1 and Vendor 2 Represent ative, is the owner and Director of the 
Pristina-based Vendor 1 and also a 51% shareholder of the Pristina-Ljubljana-based company 
Vendor 2.",1.pdf,contextual
Vendor 2 Represent,Pristina,"Background Information 
The Kosovo citizen, Vendor 1 and Vendor 2 Represent ative, is the owner and Director of the 
Pristina-based Vendor 1 and also a 51% shareholder of the Pristina-Ljubljana-based company 
Vendor 2.",1.pdf,contextual
Pristina,Ljubljana,"Background Information 
The Kosovo citizen, Vendor 1 and Vendor 2 Represent ative, is the owner and Director of the 
Pristina-based Vendor 1 and also a 51% shareholder of the Pristina-Ljubljana-based company 
Vendor 2.",1.pdf,contextual
Sonic System,Building,Supply and Mounting of Sonic System in the Fire Sta tion Building.,1.pdf,contextual
ITF,the Kosovo Organised Crime Bureau,"The ITF investigation, with supp ort from the Kosovo Organised Crime Bureau 
(KOCB), has found no reference with regard to the e xistence of the alleged competitor Vendor 4 
in Pristina.",1.pdf,contextual
the Kosovo Organised Crime Bureau,KOCB,"The ITF investigation, with supp ort from the Kosovo Organised Crime Bureau 
(KOCB), has found no reference with regard to the e xistence of the alleged competitor Vendor 4 
in Pristina.",1.pdf,contextual
KOCB,Vendor 4,"The ITF investigation, with supp ort from the Kosovo Organised Crime Bureau 
(KOCB), has found no reference with regard to the e xistence of the alleged competitor Vendor 4 
in Pristina.",1.pdf,contextual
Vendor 4,Pristina,"The ITF investigation, with supp ort from the Kosovo Organised Crime Bureau 
(KOCB), has found no reference with regard to the e xistence of the alleged competitor Vendor 4 
in Pristina.",1.pdf,contextual
TF,UNMIK Department of Justic,"The above-mentioned facts are already part of the I TF case no. 286/04 that was submitted to the 
International Prosecutor, UNMIK Department of Justic e, in October 2004.",1.pdf,contextual
ITF,the International Prosecutor,"On 1 December 2004, 
the ITF contacted the International Prosecutor for a legal assessment of this case.",1.pdf,contextual
Economic Law,Kosovo,"Although this 
case would clearly be a breach of Economic Law, the re is no applicable law in Kosovo for the 
time being. 
  
",1.pdf,contextual
the Procurement Regulation,Financial Agreemen,"It is obvious that international 
procurement rules and economic crime law had been b reached but the Procurement Regulation 
that was in force at that time – Financial Agreemen t 1999/2 – does not indicate cases like 
described before and Kosovo does not have yet any E conomic Law. 
 
",1.pdf,contextual
Financial Agreemen,Kosovo,"It is obvious that international 
procurement rules and economic crime law had been b reached but the Procurement Regulation 
that was in force at that time – Financial Agreemen t 1999/2 – does not indicate cases like 
described before and Kosovo does not have yet any E conomic Law. 
 
",1.pdf,contextual
the International Prosecutor,the Final Report,"As agreed with the International Prosecutor, a copy  of the Final Report will be provided for him 
as background information related to the ITF case n o. 286/04. 
 
 
",1.pdf,contextual
the Final Report,ITF,"As agreed with the International Prosecutor, a copy  of the Final Report will be provided for him 
as background information related to the ITF case n o. 286/04. 
 
 
",1.pdf,contextual
UNMIK,Airport,"Recommendations 
It is recommended that UNMIK, and in particular, the  KTA undertake the following actions: 
Recommendation 1: The Airport staff responsible for  procurement activity should receive 
adequate training in the handling of procurement ma tters and to adhere to all applicable 
Procurement Regulations. 
",1.pdf,contextual
Kosovo,"Intérimaire des Nations    
       Unies","1 UNITED NATIONS  
   United Nations Interim     
   Administration Mission  
in Kosovo   
 NATIONS UNIES  
Mission d’Administration 
Intérimaire des Nations    
       Unies au Kosovo  
 
UNMIK 
Investigation Task Force  
 
                                       
Case 287/04                                                                                                                       
                                                                                                                                   October 26, 2004                                      
 
 
Pristina Airport – Alleged administrative irregular ity regarding an X-RAY Tender  
 
 
Allegation 
On the 29 th  May 2003, the Divisional Manager, Kosovo Trust Age ncy (KTA)",45.pdf,contextual
"Intérimaire des Nations    
       Unies",Kosovo,"1 UNITED NATIONS  
   United Nations Interim     
   Administration Mission  
in Kosovo   
 NATIONS UNIES  
Mission d’Administration 
Intérimaire des Nations    
       Unies au Kosovo  
 
UNMIK 
Investigation Task Force  
 
                                       
Case 287/04                                                                                                                       
                                                                                                                                   October 26, 2004                                      
 
 
Pristina Airport – Alleged administrative irregular ity regarding an X-RAY Tender  
 
 
Allegation 
On the 29 th  May 2003, the Divisional Manager, Kosovo Trust Age ncy (KTA)",45.pdf,contextual
Kosovo,"UNMIK 
Investigation Task Force  
 
                                       
Case","1 UNITED NATIONS  
   United Nations Interim     
   Administration Mission  
in Kosovo   
 NATIONS UNIES  
Mission d’Administration 
Intérimaire des Nations    
       Unies au Kosovo  
 
UNMIK 
Investigation Task Force  
 
                                       
Case 287/04                                                                                                                       
                                                                                                                                   October 26, 2004                                      
 
 
Pristina Airport – Alleged administrative irregular ity regarding an X-RAY Tender  
 
 
Allegation 
On the 29 th  May 2003, the Divisional Manager, Kosovo Trust Age ncy (KTA)",45.pdf,contextual
"UNMIK 
Investigation Task Force  
 
                                       
Case",Divisional,"1 UNITED NATIONS  
   United Nations Interim     
   Administration Mission  
in Kosovo   
 NATIONS UNIES  
Mission d’Administration 
Intérimaire des Nations    
       Unies au Kosovo  
 
UNMIK 
Investigation Task Force  
 
                                       
Case 287/04                                                                                                                       
                                                                                                                                   October 26, 2004                                      
 
 
Pristina Airport – Alleged administrative irregular ity regarding an X-RAY Tender  
 
 
Allegation 
On the 29 th  May 2003, the Divisional Manager, Kosovo Trust Age ncy (KTA)",45.pdf,contextual
Divisional,Kosovo Trust Age,"1 UNITED NATIONS  
   United Nations Interim     
   Administration Mission  
in Kosovo   
 NATIONS UNIES  
Mission d’Administration 
Intérimaire des Nations    
       Unies au Kosovo  
 
UNMIK 
Investigation Task Force  
 
                                       
Case 287/04                                                                                                                       
                                                                                                                                   October 26, 2004                                      
 
 
Pristina Airport – Alleged administrative irregular ity regarding an X-RAY Tender  
 
 
Allegation 
On the 29 th  May 2003, the Divisional Manager, Kosovo Trust Age ncy (KTA)",45.pdf,contextual
UNMIK,Pillar,"[UNMIK EU-
Pillar IV], approved and signed a contract between Pristina Airport and the Vendor before 
the Capital Expenditure was formally approved by KT A. 
 
Background Information 
 
On 7 March 2003, Pristina Airport launched an inter national tender to supply X-ray 
equipment.",45.pdf,contextual
Pillar,"KT A. 
 
Background Information 
 
","[UNMIK EU-
Pillar IV], approved and signed a contract between Pristina Airport and the Vendor before 
the Capital Expenditure was formally approved by KT A. 
 
Background Information 
 
On 7 March 2003, Pristina Airport launched an inter national tender to supply X-ray 
equipment.",45.pdf,contextual
The Capital Expenditure Approval,KTA,"The Capital Expenditure Approval, dated 19 June 200 3, was signed by KTA Official 2, on 20 
June 2003. 
 
",45.pdf,contextual
Divisional,the Capital Expenditure,"Investigative details 
 
On 23 June 2004, ITF investigators interviewed the Divisional Manager, who explained that 
he/she believed he/she was authorized to sign the c ontract after having received the approval 
for the Capital Expenditure from the KTA.  
 ",45.pdf,contextual
the X-Ray Contract,Capital Expenditure,"2 Confronted with the documents that showed he/she ha d signed the X-Ray Contract with the 
Vendor before the Capital Expenditure request was a pproved by KTA, he/she stated that 
KTA probably gave him a verbal approval  
KTA Finance Official could neither confirm nor disp rove this claim as there is no evidence 
of the verbal approval being granted.  
",45.pdf,contextual
Divisional,the Letter of Not,"The Divisional Manager also signed the Letter of Not ification to the Vendor (dated 10 April 
2003) on 29 May 2003 before KTA approved the Capita l Expenditure on 20 June 2003.",45.pdf,contextual
the Letter of Not,KTA,"The Divisional Manager also signed the Letter of Not ification to the Vendor (dated 10 April 
2003) on 29 May 2003 before KTA approved the Capita l Expenditure on 20 June 2003.",45.pdf,contextual
KTA,the Capita l Expenditure,"The Divisional Manager also signed the Letter of Not ification to the Vendor (dated 10 April 
2003) on 29 May 2003 before KTA approved the Capita l Expenditure on 20 June 2003.",45.pdf,contextual
the Letter of Notification,Vendor,"It is 
not clear when the Letter of Notification was sent t o the Vendor; according to the Divisional 
Manager the Airport did not inform the company befo re the Capital Expenditure Approval 
was signed. 
",45.pdf,contextual
Vendor,Divisional,"It is 
not clear when the Letter of Notification was sent t o the Vendor; according to the Divisional 
Manager the Airport did not inform the company befo re the Capital Expenditure Approval 
was signed. 
",45.pdf,contextual
Divisional,the Capital Expenditure Approval,"It is 
not clear when the Letter of Notification was sent t o the Vendor; according to the Divisional 
Manager the Airport did not inform the company befo re the Capital Expenditure Approval 
was signed. 
",45.pdf,contextual
"the Finance 
Administration Instruction 1999/2",UNMIK,"ITF investigators have carefully studied the applic able law, such as the Finance 
Administration Instruction 1999/2 (UNMIK), Assembly of Kosovo – Law on Public 
Financial Management and Accountability 2003/2 and Assembly of Kosovo – Law on Public 
Procurement in Kosovo 2003/17 (initially foreseen t o be into force 9 June 2004, new date 1 
October 2004), and have spoken to KTA Finance Offic ial and KTA Internal Auditor 2 to 
clarify if the facts specified either breached the above regulations or internal KTA rules.",45.pdf,contextual
UNMIK,"Assembly of Kosovo – Law on Public 
Financial Management and Accountability 2003/2","ITF investigators have carefully studied the applic able law, such as the Finance 
Administration Instruction 1999/2 (UNMIK), Assembly of Kosovo – Law on Public 
Financial Management and Accountability 2003/2 and Assembly of Kosovo – Law on Public 
Procurement in Kosovo 2003/17 (initially foreseen t o be into force 9 June 2004, new date 1 
October 2004), and have spoken to KTA Finance Offic ial and KTA Internal Auditor 2 to 
clarify if the facts specified either breached the above regulations or internal KTA rules.",45.pdf,contextual
"Assembly of Kosovo – Law on Public 
Financial Management and Accountability 2003/2",Assembly of Kosovo,"ITF investigators have carefully studied the applic able law, such as the Finance 
Administration Instruction 1999/2 (UNMIK), Assembly of Kosovo – Law on Public 
Financial Management and Accountability 2003/2 and Assembly of Kosovo – Law on Public 
Procurement in Kosovo 2003/17 (initially foreseen t o be into force 9 June 2004, new date 1 
October 2004), and have spoken to KTA Finance Offic ial and KTA Internal Auditor 2 to 
clarify if the facts specified either breached the above regulations or internal KTA rules.",45.pdf,contextual
Assembly of Kosovo,Kosovo,"ITF investigators have carefully studied the applic able law, such as the Finance 
Administration Instruction 1999/2 (UNMIK), Assembly of Kosovo – Law on Public 
Financial Management and Accountability 2003/2 and Assembly of Kosovo – Law on Public 
Procurement in Kosovo 2003/17 (initially foreseen t o be into force 9 June 2004, new date 1 
October 2004), and have spoken to KTA Finance Offic ial and KTA Internal Auditor 2 to 
clarify if the facts specified either breached the above regulations or internal KTA rules.",45.pdf,contextual
Divisional,Contr,"Conclusions 
 
The fact that the Divisional Manager signed a Contr act and Letter of Notification before 
receiving the signed Capital Expenditure Approval f rom the KTA should be seen as a minor 
administrative irregularity, particularly since he/ she instructed KTA Official 1 by 
memorandum of 23 June 2003 (three days after KTA’s approval) to inform the supplier of 
the agreement of the contract.  
",45.pdf,contextual
Contr,Capital Expenditure Approval,"Conclusions 
 
The fact that the Divisional Manager signed a Contr act and Letter of Notification before 
receiving the signed Capital Expenditure Approval f rom the KTA should be seen as a minor 
administrative irregularity, particularly since he/ she instructed KTA Official 1 by 
memorandum of 23 June 2003 (three days after KTA’s approval) to inform the supplier of 
the agreement of the contract.  
",45.pdf,contextual
Capital Expenditure Approval,KTA,"Conclusions 
 
The fact that the Divisional Manager signed a Contr act and Letter of Notification before 
receiving the signed Capital Expenditure Approval f rom the KTA should be seen as a minor 
administrative irregularity, particularly since he/ she instructed KTA Official 1 by 
memorandum of 23 June 2003 (three days after KTA’s approval) to inform the supplier of 
the agreement of the contract.  
",45.pdf,contextual
KTA,KTA,"Conclusions 
 
The fact that the Divisional Manager signed a Contr act and Letter of Notification before 
receiving the signed Capital Expenditure Approval f rom the KTA should be seen as a minor 
administrative irregularity, particularly since he/ she instructed KTA Official 1 by 
memorandum of 23 June 2003 (three days after KTA’s approval) to inform the supplier of 
the agreement of the contract.  
",45.pdf,contextual
