source,target,sentence,document
"KT A. 
 
Background Information 
 
",7 March 2003,"[UNMIK EU-
Pillar IV], approved and signed a contract between Pristina Airport and the Vendor before 
the Capital Expenditure was formally approved by KT A. 
 
Background Information 
 
On 7 March 2003, Pristina Airport launched an inter national tender to supply X-ray 
equipment.",45.pdf
Divisional,29 May  2003,"The  KTA Internal Auditor 1 expressed 
concerns over the conclusion of the contract, which  resulted in the Divisional Manager 
signing on behalf of the Procuring Entity on 29 May  2003.",45.pdf
The Capital Expenditure Approval,19 June 200 3,"The Capital Expenditure Approval, dated 19 June 200 3, was signed by KTA Official 2, on 20 
June 2003. 
 
",45.pdf
19 June 200 3,KTA,"The Capital Expenditure Approval, dated 19 June 200 3, was signed by KTA Official 2, on 20 
June 2003. 
 
",45.pdf
KTA,"20 
June 2003","The Capital Expenditure Approval, dated 19 June 200 3, was signed by KTA Official 2, on 20 
June 2003. 
 
",45.pdf
23 June 2004,Divisional,"Investigative details 
 
On 23 June 2004, ITF investigators interviewed the Divisional Manager, who explained that 
he/she believed he/she was authorized to sign the c ontract after having received the approval 
for the Capital Expenditure from the KTA.  
 ",45.pdf
Divisional,the Capital Expenditure,"Investigative details 
 
On 23 June 2004, ITF investigators interviewed the Divisional Manager, who explained that 
he/she believed he/she was authorized to sign the c ontract after having received the approval 
for the Capital Expenditure from the KTA.  
 ",45.pdf
the X-Ray Contract,Capital Expenditure,"2 Confronted with the documents that showed he/she ha d signed the X-Ray Contract with the 
Vendor before the Capital Expenditure request was a pproved by KTA, he/she stated that 
KTA probably gave him a verbal approval  
KTA Finance Official could neither confirm nor disp rove this claim as there is no evidence 
of the verbal approval being granted.  
",45.pdf
Divisional,the Letter of Not,"The Divisional Manager also signed the Letter of Not ification to the Vendor (dated 10 April 
2003) on 29 May 2003 before KTA approved the Capita l Expenditure on 20 June 2003.",45.pdf
the Letter of Not,"10 April 
2003","The Divisional Manager also signed the Letter of Not ification to the Vendor (dated 10 April 
2003) on 29 May 2003 before KTA approved the Capita l Expenditure on 20 June 2003.",45.pdf
"10 April 
2003",29 May 2003,"The Divisional Manager also signed the Letter of Not ification to the Vendor (dated 10 April 
2003) on 29 May 2003 before KTA approved the Capita l Expenditure on 20 June 2003.",45.pdf
29 May 2003,KTA,"The Divisional Manager also signed the Letter of Not ification to the Vendor (dated 10 April 
2003) on 29 May 2003 before KTA approved the Capita l Expenditure on 20 June 2003.",45.pdf
KTA,the Capita l Expenditure,"The Divisional Manager also signed the Letter of Not ification to the Vendor (dated 10 April 
2003) on 29 May 2003 before KTA approved the Capita l Expenditure on 20 June 2003.",45.pdf
the Capita l Expenditure,20 June 2003,"The Divisional Manager also signed the Letter of Not ification to the Vendor (dated 10 April 
2003) on 29 May 2003 before KTA approved the Capita l Expenditure on 20 June 2003.",45.pdf
the Letter of Notification,Vendor,"It is 
not clear when the Letter of Notification was sent t o the Vendor; according to the Divisional 
Manager the Airport did not inform the company befo re the Capital Expenditure Approval 
was signed. 
",45.pdf
Vendor,Divisional,"It is 
not clear when the Letter of Notification was sent t o the Vendor; according to the Divisional 
Manager the Airport did not inform the company befo re the Capital Expenditure Approval 
was signed. 
",45.pdf
Divisional,the Capital Expenditure Approval,"It is 
not clear when the Letter of Notification was sent t o the Vendor; according to the Divisional 
Manager the Airport did not inform the company befo re the Capital Expenditure Approval 
was signed. 
",45.pdf
"the Finance 
Administration Instruction 1999/2",UNMIK,"ITF investigators have carefully studied the applic able law, such as the Finance 
Administration Instruction 1999/2 (UNMIK), Assembly of Kosovo – Law on Public 
Financial Management and Accountability 2003/2 and Assembly of Kosovo – Law on Public 
Procurement in Kosovo 2003/17 (initially foreseen t o be into force 9 June 2004, new date 1 
October 2004), and have spoken to KTA Finance Offic ial and KTA Internal Auditor 2 to 
clarify if the facts specified either breached the above regulations or internal KTA rules.",45.pdf
UNMIK,"Assembly of Kosovo – Law on Public 
Financial Management and Accountability 2003/2","ITF investigators have carefully studied the applic able law, such as the Finance 
Administration Instruction 1999/2 (UNMIK), Assembly of Kosovo – Law on Public 
Financial Management and Accountability 2003/2 and Assembly of Kosovo – Law on Public 
Procurement in Kosovo 2003/17 (initially foreseen t o be into force 9 June 2004, new date 1 
October 2004), and have spoken to KTA Finance Offic ial and KTA Internal Auditor 2 to 
clarify if the facts specified either breached the above regulations or internal KTA rules.",45.pdf
"Assembly of Kosovo – Law on Public 
Financial Management and Accountability 2003/2",Assembly of Kosovo,"ITF investigators have carefully studied the applic able law, such as the Finance 
Administration Instruction 1999/2 (UNMIK), Assembly of Kosovo – Law on Public 
Financial Management and Accountability 2003/2 and Assembly of Kosovo – Law on Public 
Procurement in Kosovo 2003/17 (initially foreseen t o be into force 9 June 2004, new date 1 
October 2004), and have spoken to KTA Finance Offic ial and KTA Internal Auditor 2 to 
clarify if the facts specified either breached the above regulations or internal KTA rules.",45.pdf
Assembly of Kosovo,Kosovo,"ITF investigators have carefully studied the applic able law, such as the Finance 
Administration Instruction 1999/2 (UNMIK), Assembly of Kosovo – Law on Public 
Financial Management and Accountability 2003/2 and Assembly of Kosovo – Law on Public 
Procurement in Kosovo 2003/17 (initially foreseen t o be into force 9 June 2004, new date 1 
October 2004), and have spoken to KTA Finance Offic ial and KTA Internal Auditor 2 to 
clarify if the facts specified either breached the above regulations or internal KTA rules.",45.pdf
Kosovo,June 2004,"ITF investigators have carefully studied the applic able law, such as the Finance 
Administration Instruction 1999/2 (UNMIK), Assembly of Kosovo – Law on Public 
Financial Management and Accountability 2003/2 and Assembly of Kosovo – Law on Public 
Procurement in Kosovo 2003/17 (initially foreseen t o be into force 9 June 2004, new date 1 
October 2004), and have spoken to KTA Finance Offic ial and KTA Internal Auditor 2 to 
clarify if the facts specified either breached the above regulations or internal KTA rules.",45.pdf
June 2004,October 2004,"ITF investigators have carefully studied the applic able law, such as the Finance 
Administration Instruction 1999/2 (UNMIK), Assembly of Kosovo – Law on Public 
Financial Management and Accountability 2003/2 and Assembly of Kosovo – Law on Public 
Procurement in Kosovo 2003/17 (initially foreseen t o be into force 9 June 2004, new date 1 
October 2004), and have spoken to KTA Finance Offic ial and KTA Internal Auditor 2 to 
clarify if the facts specified either breached the above regulations or internal KTA rules.",45.pdf
Divisional,Contr,"Conclusions 
 
The fact that the Divisional Manager signed a Contr act and Letter of Notification before 
receiving the signed Capital Expenditure Approval f rom the KTA should be seen as a minor 
administrative irregularity, particularly since he/ she instructed KTA Official 1 by 
memorandum of 23 June 2003 (three days after KTA’s approval) to inform the supplier of 
the agreement of the contract.  
",45.pdf
Contr,Capital Expenditure Approval,"Conclusions 
 
The fact that the Divisional Manager signed a Contr act and Letter of Notification before 
receiving the signed Capital Expenditure Approval f rom the KTA should be seen as a minor 
administrative irregularity, particularly since he/ she instructed KTA Official 1 by 
memorandum of 23 June 2003 (three days after KTA’s approval) to inform the supplier of 
the agreement of the contract.  
",45.pdf
Capital Expenditure Approval,KTA,"Conclusions 
 
The fact that the Divisional Manager signed a Contr act and Letter of Notification before 
receiving the signed Capital Expenditure Approval f rom the KTA should be seen as a minor 
administrative irregularity, particularly since he/ she instructed KTA Official 1 by 
memorandum of 23 June 2003 (three days after KTA’s approval) to inform the supplier of 
the agreement of the contract.  
",45.pdf
KTA,23 June 2003,"Conclusions 
 
The fact that the Divisional Manager signed a Contr act and Letter of Notification before 
receiving the signed Capital Expenditure Approval f rom the KTA should be seen as a minor 
administrative irregularity, particularly since he/ she instructed KTA Official 1 by 
memorandum of 23 June 2003 (three days after KTA’s approval) to inform the supplier of 
the agreement of the contract.  
",45.pdf
23 June 2003,three days,"Conclusions 
 
The fact that the Divisional Manager signed a Contr act and Letter of Notification before 
receiving the signed Capital Expenditure Approval f rom the KTA should be seen as a minor 
administrative irregularity, particularly since he/ she instructed KTA Official 1 by 
memorandum of 23 June 2003 (three days after KTA’s approval) to inform the supplier of 
the agreement of the contract.  
",45.pdf
three days,KTA,"Conclusions 
 
The fact that the Divisional Manager signed a Contr act and Letter of Notification before 
receiving the signed Capital Expenditure Approval f rom the KTA should be seen as a minor 
administrative irregularity, particularly since he/ she instructed KTA Official 1 by 
memorandum of 23 June 2003 (three days after KTA’s approval) to inform the supplier of 
the agreement of the contract.  
",45.pdf
ITF,Recommendations,"The ITF found no evidence of financial loss to the Pristina Airport or the KTA. 
 
Recommendations. 
 
",45.pdf
UNMIK,KTA,"This results of this investigation do not reach a l evel where recommendations for 
administrative action are necessary, however, it is  recommended that UNMIK, and in 
particular, the KTA undertake the following actions : 
Recommendation 1: That airport staff responsible fo r procurement activity have received 
adequate training in the handling of procurement ma tters: 
Recommendation 2: That airport staff responsible fo r procurement activity strictly adhere to 
all applicable Procurement Regulations; 
Recommendation 3: That airport and KTA staff author ized to sign contract documentation 
only do so after receiving written approvals on Cap ital Expenditures.",45.pdf
KTA,KTA,"This results of this investigation do not reach a l evel where recommendations for 
administrative action are necessary, however, it is  recommended that UNMIK, and in 
particular, the KTA undertake the following actions : 
Recommendation 1: That airport staff responsible fo r procurement activity have received 
adequate training in the handling of procurement ma tters: 
Recommendation 2: That airport staff responsible fo r procurement activity strictly adhere to 
all applicable Procurement Regulations; 
Recommendation 3: That airport and KTA staff author ized to sign contract documentation 
only do so after receiving written approvals on Cap ital Expenditures.",45.pdf
KTA,Cap,"This results of this investigation do not reach a l evel where recommendations for 
administrative action are necessary, however, it is  recommended that UNMIK, and in 
particular, the KTA undertake the following actions : 
Recommendation 1: That airport staff responsible fo r procurement activity have received 
adequate training in the handling of procurement ma tters: 
Recommendation 2: That airport staff responsible fo r procurement activity strictly adhere to 
all applicable Procurement Regulations; 
Recommendation 3: That airport and KTA staff author ized to sign contract documentation 
only do so after receiving written approvals on Cap ital Expenditures.",45.pdf
Cap,Expenditures,"This results of this investigation do not reach a l evel where recommendations for 
administrative action are necessary, however, it is  recommended that UNMIK, and in 
particular, the KTA undertake the following actions : 
Recommendation 1: That airport staff responsible fo r procurement activity have received 
adequate training in the handling of procurement ma tters: 
Recommendation 2: That airport staff responsible fo r procurement activity strictly adhere to 
all applicable Procurement Regulations; 
Recommendation 3: That airport and KTA staff author ized to sign contract documentation 
only do so after receiving written approvals on Cap ital Expenditures.",45.pdf
UNITED NATIONS,"United Nations Interim 
Administration Mission","UNITED NATIONS 
United Nations Interim 
Administration Mission 
in Kosovo   
UNMIK NATIONS UNIES 
Mission d’Administration 
Intérimaire des Nations Unies 
au",51.pdf
"United Nations Interim 
Administration Mission",Kosovo,"UNITED NATIONS 
United Nations Interim 
Administration Mission 
in Kosovo   
UNMIK NATIONS UNIES 
Mission d’Administration 
Intérimaire des Nations Unies 
au",51.pdf
Kosovo,Intérimaire des Nations,"UNITED NATIONS 
United Nations Interim 
Administration Mission 
in Kosovo   
UNMIK NATIONS UNIES 
Mission d’Administration 
Intérimaire des Nations Unies 
au",51.pdf
Kosovo,"INVESTIGATION TASK FORCE 
 
Allegation","Kosovo  
 
INVESTIGATION TASK FORCE 
 
Allegation of fraud in handling and accounting of C argo  
at Pristina Airport (Case No. 0192/04)  
 
 
I. Introduction  
 
1.",51.pdf
The Investigation Task Force,the Cargo Department,"The Investigation Task Force (ITF) received a re port that the Cargo Department at 
Pristina Airport had improperly sought payment for importation and storage of goods 
owned by the Company.",51.pdf
"8,000.00",Pri,"It was further alleged that a n amount of €8,000.00 was sought 
and received by an official (Official 1) of the Pri stina Airport, which was illegal and 
therefore not recorded in the accounts of the Airpo rt. 
 
",51.pdf
ITF,"the Department of 
Justice","After the ITF conducted a preliminary investigat ion into this allegation, prima 
facie  evidence of a crime was identified and the case wa s referred to the Department of 
Justice, Pillar I, UNMIK, on July 22",51.pdf
"the Department of 
Justice",Pillar,"After the ITF conducted a preliminary investigat ion into this allegation, prima 
facie  evidence of a crime was identified and the case wa s referred to the Department of 
Justice, Pillar I, UNMIK, on July 22",51.pdf
Pillar,July 22,"After the ITF conducted a preliminary investigat ion into this allegation, prima 
facie  evidence of a crime was identified and the case wa s referred to the Department of 
Justice, Pillar I, UNMIK, on July 22",51.pdf
Kosovo,POE,"In general terms, airport officials are required  to act in the best interests of Airport 
Pristina, a Kosovo Publicly Owned Enterprise (POE),  while performing their duties and 
establishing and maintaining a responsible and tran sparent business framework in which 
Airport Pristina can function.",51.pdf
POE,Airport Pristina,"In general terms, airport officials are required  to act in the best interests of Airport 
Pristina, a Kosovo Publicly Owned Enterprise (POE),  while performing their duties and 
establishing and maintaining a responsible and tran sparent business framework in which 
Airport Pristina can function.",51.pdf
Kosovo,Company,"At the time the consignment arrived in Kosovo, the Company did not have 
permission to erect the LED screen on any city buil ding for advertisement purposes as 
they had intended.",51.pdf
Company,"11,581.00","The same Agent, on  behalf of the Company, paid a 
total amount of €11,581.00, VAT and Customs Duties included. 
 
13.",51.pdf
"11,581.00",VAT,"The same Agent, on  behalf of the Company, paid a 
total amount of €11,581.00, VAT and Customs Duties included. 
 
13.",51.pdf
VAT,Customs Duties,"The same Agent, on  behalf of the Company, paid a 
total amount of €11,581.00, VAT and Customs Duties included. 
 
13.",51.pdf
Co,Company,"Once all the payments had been effected, the Co mpany Representative went to the 
Cargo Building to pick up his goods, but according to his statements, he/she was 
approached by Official 1, who advised the Company R epresentative that he/she was now 
required to pay the amount of €32,800.00 that inclu ded a storage charge for the period 26 
December 2003 to 15 March 2004. 
 
",51.pdf
Company,"32,800.00","Once all the payments had been effected, the Co mpany Representative went to the 
Cargo Building to pick up his goods, but according to his statements, he/she was 
approached by Official 1, who advised the Company R epresentative that he/she was now 
required to pay the amount of €32,800.00 that inclu ded a storage charge for the period 26 
December 2003 to 15 March 2004. 
 
",51.pdf
"32,800.00",December 2003,"Once all the payments had been effected, the Co mpany Representative went to the 
Cargo Building to pick up his goods, but according to his statements, he/she was 
approached by Official 1, who advised the Company R epresentative that he/she was now 
required to pay the amount of €32,800.00 that inclu ded a storage charge for the period 26 
December 2003 to 15 March 2004. 
 
",51.pdf
December 2003,March 2004,"Once all the payments had been effected, the Co mpany Representative went to the 
Cargo Building to pick up his goods, but according to his statements, he/she was 
approached by Official 1, who advised the Company R epresentative that he/she was now 
required to pay the amount of €32,800.00 that inclu ded a storage charge for the period 26 
December 2003 to 15 March 2004. 
 
",51.pdf
"8,000.0",Airport,"Sometime thereafter, Official 1 advised the  Company Representative that he/she 
was able to decrease the storage charge to €8,000.0 0 based on his/her position and 
connections at the Airport. 
 
",51.pdf
March 2004,"8,000.00","On the 16 th  of March 2004, Partner 1 paid the €8,000.00 to the  Company 
Representative, who then went to Pristina Airport t o hand it to Official 1.",51.pdf
the Cargo Department Finance Office,Company,"ITF Investigators visited the Cargo Department Finance Office to check official 
documentation in relation to the Company merchandis e. No trace of the payment of the 
€8,000 could be found in the Cargo Department accou nt books for 2003 or 2004. 
 
19.",51.pdf
Company,"8,000","ITF Investigators visited the Cargo Department Finance Office to check official 
documentation in relation to the Company merchandis e. No trace of the payment of the 
€8,000 could be found in the Cargo Department accou nt books for 2003 or 2004. 
 
19.",51.pdf
"8,000",the Cargo Department,"ITF Investigators visited the Cargo Department Finance Office to check official 
documentation in relation to the Company merchandis e. No trace of the payment of the 
€8,000 could be found in the Cargo Department accou nt books for 2003 or 2004. 
 
19.",51.pdf
the Cargo Department,2003,"ITF Investigators visited the Cargo Department Finance Office to check official 
documentation in relation to the Company merchandis e. No trace of the payment of the 
€8,000 could be found in the Cargo Department accou nt books for 2003 or 2004. 
 
19.",51.pdf
2003,2004,"ITF Investigators visited the Cargo Department Finance Office to check official 
documentation in relation to the Company merchandis e. No trace of the payment of the 
€8,000 could be found in the Cargo Department accou nt books for 2003 or 2004. 
 
19.",51.pdf
Finance,ITF,"According to the tariff list that the Finance O fficer of the Cargo Section provided 
to the ITF, the Company should have paid an amount of approximately €32,000.00 for 
storage fees from the 23 rd  of December 2003 to 15 th  of March 2004. 
 
20.",51.pdf
ITF,Company,"According to the tariff list that the Finance O fficer of the Cargo Section provided 
to the ITF, the Company should have paid an amount of approximately €32,000.00 for 
storage fees from the 23 rd  of December 2003 to 15 th  of March 2004. 
 
20.",51.pdf
Company,"approximately €32,000.00","According to the tariff list that the Finance O fficer of the Cargo Section provided 
to the ITF, the Company should have paid an amount of approximately €32,000.00 for 
storage fees from the 23 rd  of December 2003 to 15 th  of March 2004. 
 
20.",51.pdf
"approximately €32,000.00",December 2003,"According to the tariff list that the Finance O fficer of the Cargo Section provided 
to the ITF, the Company should have paid an amount of approximately €32,000.00 for 
storage fees from the 23 rd  of December 2003 to 15 th  of March 2004. 
 
20.",51.pdf
December 2003,March 2004,"According to the tariff list that the Finance O fficer of the Cargo Section provided 
to the ITF, the Company should have paid an amount of approximately €32,000.00 for 
storage fees from the 23 rd  of December 2003 to 15 th  of March 2004. 
 
20.",51.pdf
ITF,6 July 2004,"Further inquiries c arried out by the ITF on 6 July 2004 at 
Pristina Airport Customs Offices and at Pristina Cu stoms Services Headquarters, 
disclosed that the merchandise did indeed enter the  airport storage on 26 December 2003 
and left on 15 March 2004.",51.pdf
6 July 2004,26 December 2003,"Further inquiries c arried out by the ITF on 6 July 2004 at 
Pristina Airport Customs Offices and at Pristina Cu stoms Services Headquarters, 
disclosed that the merchandise did indeed enter the  airport storage on 26 December 2003 
and left on 15 March 2004.",51.pdf
26 December 2003,15 March 2004,"Further inquiries c arried out by the ITF on 6 July 2004 at 
Pristina Airport Customs Offices and at Pristina Cu stoms Services Headquarters, 
disclosed that the merchandise did indeed enter the  airport storage on 26 December 2003 
and left on 15 March 2004.",51.pdf
ITF,"11,581.00","The ITF found that the Company 
paid a total amount of €11,581.00 for VAT and Custo ms Duties.   
 
21.",51.pdf
"11,581.00",VAT,"The ITF found that the Company 
paid a total amount of €11,581.00 for VAT and Custo ms Duties.   
 
21.",51.pdf
VAT,Custo ms Duties,"The ITF found that the Company 
paid a total amount of €11,581.00 for VAT and Custo ms Duties.   
 
21.",51.pdf
Custo ms Duties,21,"The ITF found that the Company 
paid a total amount of €11,581.00 for VAT and Custo ms Duties.   
 
21.",51.pdf
July 12 th  2004,Partner 4,"On July 12 th  2004, ITF Investigators interviewed Partner 4 conf irmed that the first 
requested amount was €32,000.00, which was later ch anged to the agreed sum of 
€8,000.00.",51.pdf
Partner 4,"32,000.00","On July 12 th  2004, ITF Investigators interviewed Partner 4 conf irmed that the first 
requested amount was €32,000.00, which was later ch anged to the agreed sum of 
€8,000.00.",51.pdf
"32,000.00","8,000.00","On July 12 th  2004, ITF Investigators interviewed Partner 4 conf irmed that the first 
requested amount was €32,000.00, which was later ch anged to the agreed sum of 
€8,000.00.",51.pdf
Airline 2 Pristina Office,9 July 2004,"He/she added that he/she received a stra nge phone call from a staff member of 
Airline 2 Pristina Office on 9 July 2004, advising him/her to urgently make contact with 
Official 2 on his/her mobile telephone, because Off icial 2 urgently needed to speak with 
Partner 4.",51.pdf
Airline 2,Monday,"Partner 4 stated to the  ITF that he/she advised the staff 
member of Airline 2 of his already scheduled appoin tment with ITF Investigators on the 
following Monday and that he/she was prepared to te ll all he knew on the matter.  ",51.pdf
ITF,Department,"In view 
of all the collected data and evidence, the ITF dec ided to refer the case to the Department 
of Justice.  
 
",51.pdf
Department,Justice,"In view 
of all the collected data and evidence, the ITF dec ided to refer the case to the Department 
of Justice.  
 
",51.pdf
ITF,Depar,"Based on the referral from the ITF to the Depar tment of Justice on 26 July 2004, 
arrest warrants were  issued against Official 1 and Official 2.",51.pdf
Depar,Justice,"Based on the referral from the ITF to the Depar tment of Justice on 26 July 2004, 
arrest warrants were  issued against Official 1 and Official 2.",51.pdf
Justice,26 July 2004,"Based on the referral from the ITF to the Depar tment of Justice on 26 July 2004, 
arrest warrants were  issued against Official 1 and Official 2.",51.pdf
14 th  March 2004,16 th  March 2004,"Count 1   
 
That between the dates 14 th  March 2004 and 16 th  March 2004 inclusive, Official 1 and 
Official 2  acting in their capacity as officials of Airport Pr istina, and acting in complicity 
with the intention to obtain an unlawful material b enefit, presented a representative of the 
Company with a false statement of account claiming reduced storage fees, and in so 
doing, misled an authorized person to carry out an unlawful payment, thereby committing 
the offence of Fraud in Service  in violation of  Article 215, (1) and (2) of the Ko sovo 
Criminal Code (KCC) punishable by imprisonment of o ne to ten years 
 
{equivalent to Fraud in Office  contrary to Article 341 (1) and (2) of Provisional Kosovo 
Criminal Code (PCCK)}; 
 
and Complicity, in violation of Article 22 of Criminal Code of SFRY ,( equivalent to   Co-
Perpetration , in violation of PCCK Article 23) 
 
",51.pdf
16 th  March 2004,Fraud,"Count 1   
 
That between the dates 14 th  March 2004 and 16 th  March 2004 inclusive, Official 1 and 
Official 2  acting in their capacity as officials of Airport Pr istina, and acting in complicity 
with the intention to obtain an unlawful material b enefit, presented a representative of the 
Company with a false statement of account claiming reduced storage fees, and in so 
doing, misled an authorized person to carry out an unlawful payment, thereby committing 
the offence of Fraud in Service  in violation of  Article 215, (1) and (2) of the Ko sovo 
Criminal Code (KCC) punishable by imprisonment of o ne to ten years 
 
{equivalent to Fraud in Office  contrary to Article 341 (1) and (2) of Provisional Kosovo 
Criminal Code (PCCK)}; 
 
and Complicity, in violation of Article 22 of Criminal Code of SFRY ,( equivalent to   Co-
Perpetration , in violation of PCCK Article 23) 
 
",51.pdf
Fraud,Ko,"Count 1   
 
That between the dates 14 th  March 2004 and 16 th  March 2004 inclusive, Official 1 and 
Official 2  acting in their capacity as officials of Airport Pr istina, and acting in complicity 
with the intention to obtain an unlawful material b enefit, presented a representative of the 
Company with a false statement of account claiming reduced storage fees, and in so 
doing, misled an authorized person to carry out an unlawful payment, thereby committing 
the offence of Fraud in Service  in violation of  Article 215, (1) and (2) of the Ko sovo 
Criminal Code (KCC) punishable by imprisonment of o ne to ten years 
 
{equivalent to Fraud in Office  contrary to Article 341 (1) and (2) of Provisional Kosovo 
Criminal Code (PCCK)}; 
 
and Complicity, in violation of Article 22 of Criminal Code of SFRY ,( equivalent to   Co-
Perpetration , in violation of PCCK Article 23) 
 
",51.pdf
Ko,KCC,"Count 1   
 
That between the dates 14 th  March 2004 and 16 th  March 2004 inclusive, Official 1 and 
Official 2  acting in their capacity as officials of Airport Pr istina, and acting in complicity 
with the intention to obtain an unlawful material b enefit, presented a representative of the 
Company with a false statement of account claiming reduced storage fees, and in so 
doing, misled an authorized person to carry out an unlawful payment, thereby committing 
the offence of Fraud in Service  in violation of  Article 215, (1) and (2) of the Ko sovo 
Criminal Code (KCC) punishable by imprisonment of o ne to ten years 
 
{equivalent to Fraud in Office  contrary to Article 341 (1) and (2) of Provisional Kosovo 
Criminal Code (PCCK)}; 
 
and Complicity, in violation of Article 22 of Criminal Code of SFRY ,( equivalent to   Co-
Perpetration , in violation of PCCK Article 23) 
 
",51.pdf
KCC,"ten years 
 
","Count 1   
 
That between the dates 14 th  March 2004 and 16 th  March 2004 inclusive, Official 1 and 
Official 2  acting in their capacity as officials of Airport Pr istina, and acting in complicity 
with the intention to obtain an unlawful material b enefit, presented a representative of the 
Company with a false statement of account claiming reduced storage fees, and in so 
doing, misled an authorized person to carry out an unlawful payment, thereby committing 
the offence of Fraud in Service  in violation of  Article 215, (1) and (2) of the Ko sovo 
Criminal Code (KCC) punishable by imprisonment of o ne to ten years 
 
{equivalent to Fraud in Office  contrary to Article 341 (1) and (2) of Provisional Kosovo 
Criminal Code (PCCK)}; 
 
and Complicity, in violation of Article 22 of Criminal Code of SFRY ,( equivalent to   Co-
Perpetration , in violation of PCCK Article 23) 
 
",51.pdf
"ten years 
 
",Fraud,"Count 1   
 
That between the dates 14 th  March 2004 and 16 th  March 2004 inclusive, Official 1 and 
Official 2  acting in their capacity as officials of Airport Pr istina, and acting in complicity 
with the intention to obtain an unlawful material b enefit, presented a representative of the 
Company with a false statement of account claiming reduced storage fees, and in so 
doing, misled an authorized person to carry out an unlawful payment, thereby committing 
the offence of Fraud in Service  in violation of  Article 215, (1) and (2) of the Ko sovo 
Criminal Code (KCC) punishable by imprisonment of o ne to ten years 
 
{equivalent to Fraud in Office  contrary to Article 341 (1) and (2) of Provisional Kosovo 
Criminal Code (PCCK)}; 
 
and Complicity, in violation of Article 22 of Criminal Code of SFRY ,( equivalent to   Co-
Perpetration , in violation of PCCK Article 23) 
 
",51.pdf
Fraud,PCCK,"Count 1   
 
That between the dates 14 th  March 2004 and 16 th  March 2004 inclusive, Official 1 and 
Official 2  acting in their capacity as officials of Airport Pr istina, and acting in complicity 
with the intention to obtain an unlawful material b enefit, presented a representative of the 
Company with a false statement of account claiming reduced storage fees, and in so 
doing, misled an authorized person to carry out an unlawful payment, thereby committing 
the offence of Fraud in Service  in violation of  Article 215, (1) and (2) of the Ko sovo 
Criminal Code (KCC) punishable by imprisonment of o ne to ten years 
 
{equivalent to Fraud in Office  contrary to Article 341 (1) and (2) of Provisional Kosovo 
Criminal Code (PCCK)}; 
 
and Complicity, in violation of Article 22 of Criminal Code of SFRY ,( equivalent to   Co-
Perpetration , in violation of PCCK Article 23) 
 
",51.pdf
PCCK,Complicity,"Count 1   
 
That between the dates 14 th  March 2004 and 16 th  March 2004 inclusive, Official 1 and 
Official 2  acting in their capacity as officials of Airport Pr istina, and acting in complicity 
with the intention to obtain an unlawful material b enefit, presented a representative of the 
Company with a false statement of account claiming reduced storage fees, and in so 
doing, misled an authorized person to carry out an unlawful payment, thereby committing 
the offence of Fraud in Service  in violation of  Article 215, (1) and (2) of the Ko sovo 
Criminal Code (KCC) punishable by imprisonment of o ne to ten years 
 
{equivalent to Fraud in Office  contrary to Article 341 (1) and (2) of Provisional Kosovo 
Criminal Code (PCCK)}; 
 
and Complicity, in violation of Article 22 of Criminal Code of SFRY ,( equivalent to   Co-
Perpetration , in violation of PCCK Article 23) 
 
",51.pdf
Complicity,SFRY,"Count 1   
 
That between the dates 14 th  March 2004 and 16 th  March 2004 inclusive, Official 1 and 
Official 2  acting in their capacity as officials of Airport Pr istina, and acting in complicity 
with the intention to obtain an unlawful material b enefit, presented a representative of the 
Company with a false statement of account claiming reduced storage fees, and in so 
doing, misled an authorized person to carry out an unlawful payment, thereby committing 
the offence of Fraud in Service  in violation of  Article 215, (1) and (2) of the Ko sovo 
Criminal Code (KCC) punishable by imprisonment of o ne to ten years 
 
{equivalent to Fraud in Office  contrary to Article 341 (1) and (2) of Provisional Kosovo 
Criminal Code (PCCK)}; 
 
and Complicity, in violation of Article 22 of Criminal Code of SFRY ,( equivalent to   Co-
Perpetration , in violation of PCCK Article 23) 
 
",51.pdf
SFRY,PCCK,"Count 1   
 
That between the dates 14 th  March 2004 and 16 th  March 2004 inclusive, Official 1 and 
Official 2  acting in their capacity as officials of Airport Pr istina, and acting in complicity 
with the intention to obtain an unlawful material b enefit, presented a representative of the 
Company with a false statement of account claiming reduced storage fees, and in so 
doing, misled an authorized person to carry out an unlawful payment, thereby committing 
the offence of Fraud in Service  in violation of  Article 215, (1) and (2) of the Ko sovo 
Criminal Code (KCC) punishable by imprisonment of o ne to ten years 
 
{equivalent to Fraud in Office  contrary to Article 341 (1) and (2) of Provisional Kosovo 
Criminal Code (PCCK)}; 
 
and Complicity, in violation of Article 22 of Criminal Code of SFRY ,( equivalent to   Co-
Perpetration , in violation of PCCK Article 23) 
 
",51.pdf
14 th  March 2004,16 th  March 2004,"Count 2   
 
That between the dates 14 th  March 2004 and 16 th  March 2004 inclusive Official 1 and 
Official 2 with the intent to obtain an unlawful ma terial benefit for themselves 
appropriated money (approx.",51.pdf
"8,000.00 Euros","32,800.0 0","8,000.00 Euros) from th e Company, amount which was 
allegedly decreased from an initial sum of 32,800.0 0 Euros to be paid to the Airport for 
storage fees for goods kept in the Cargo section of  the Airport from 24.12.03 until 
15.3.2004, thereby committing the offence of Embezzlement , in violation of Article 219 
para.",51.pdf
