source,target,sentence,document,cleaned_source,cleaned_target
"approximately €32,000.00",December 2003,"According to the tariff list that the Finance O fficer of the Cargo Section provided 
to the ITF, the Company should have paid an amount of approximately €32,000.00 for 
storage fees from the 23 rd  of December 2003 to 15 th  of March 2004. 
 
20.",51.pdf,approximately 3200000,december 2003
ITF,6 July 2004,"Further inquiries c arried out by the ITF on 6 July 2004 at 
Pristina Airport Customs Offices and at Pristina Cu stoms Services Headquarters, 
disclosed that the merchandise did indeed enter the  airport storage on 26 December 2003 
and left on 15 March 2004.",51.pdf,itf,6 july 2004
6 July 2004,26 December 2003,"Further inquiries c arried out by the ITF on 6 July 2004 at 
Pristina Airport Customs Offices and at Pristina Cu stoms Services Headquarters, 
disclosed that the merchandise did indeed enter the  airport storage on 26 December 2003 
and left on 15 March 2004.",51.pdf,6 july 2004,26 december 2003
26 December 2003,15 March 2004,"Further inquiries c arried out by the ITF on 6 July 2004 at 
Pristina Airport Customs Offices and at Pristina Cu stoms Services Headquarters, 
disclosed that the merchandise did indeed enter the  airport storage on 26 December 2003 
and left on 15 March 2004.",51.pdf,26 december 2003,15 march 2004
ITF,"11,581.00","The ITF found that the Company 
paid a total amount of €11,581.00 for VAT and Custo ms Duties.   
 
21.",51.pdf,itf,1158100
VAT,Custo ms Duties,"The ITF found that the Company 
paid a total amount of €11,581.00 for VAT and Custo ms Duties.   
 
21.",51.pdf,vat,custo ms duties
July 12 th  2004,Partner 4,"On July 12 th  2004, ITF Investigators interviewed Partner 4 conf irmed that the first 
requested amount was €32,000.00, which was later ch anged to the agreed sum of 
€8,000.00.",51.pdf,july 12 th 2004,partner 4
Partner 4,"32,000.00","On July 12 th  2004, ITF Investigators interviewed Partner 4 conf irmed that the first 
requested amount was €32,000.00, which was later ch anged to the agreed sum of 
€8,000.00.",51.pdf,partner 4,3200000
"32,000.00","8,000.00","On July 12 th  2004, ITF Investigators interviewed Partner 4 conf irmed that the first 
requested amount was €32,000.00, which was later ch anged to the agreed sum of 
€8,000.00.",51.pdf,3200000,800000
Airline 2 Pristina Office,9 July 2004,"He/she added that he/she received a stra nge phone call from a staff member of 
Airline 2 Pristina Office on 9 July 2004, advising him/her to urgently make contact with 
Official 2 on his/her mobile telephone, because Off icial 2 urgently needed to speak with 
Partner 4.",51.pdf,airline 2 pristina office,9 july 2004
Airline 2,Monday,"Partner 4 stated to the  ITF that he/she advised the staff 
member of Airline 2 of his already scheduled appoin tment with ITF Investigators on the 
following Monday and that he/she was prepared to te ll all he knew on the matter.  ",51.pdf,airline 2,monday
ITF,Department,"In view 
of all the collected data and evidence, the ITF dec ided to refer the case to the Department 
of Justice.  
 
",51.pdf,itf,department
Department,Justice,"In view 
of all the collected data and evidence, the ITF dec ided to refer the case to the Department 
of Justice.  
 
",51.pdf,department,justice
ITF,Depar,"Based on the referral from the ITF to the Depar tment of Justice on 26 July 2004, 
arrest warrants were  issued against Official 1 and Official 2.",51.pdf,itf,depar
Depar,Justice,"Based on the referral from the ITF to the Depar tment of Justice on 26 July 2004, 
arrest warrants were  issued against Official 1 and Official 2.",51.pdf,depar,justice
Justice,26 July 2004,"Based on the referral from the ITF to the Depar tment of Justice on 26 July 2004, 
arrest warrants were  issued against Official 1 and Official 2.",51.pdf,justice,26 july 2004
14 th  March 2004,16 th  March 2004,"Count 1   
 
That between the dates 14 th  March 2004 and 16 th  March 2004 inclusive, Official 1 and 
Official 2  acting in their capacity as officials of Airport Pr istina, and acting in complicity 
with the intention to obtain an unlawful material b enefit, presented a representative of the 
Company with a false statement of account claiming reduced storage fees, and in so 
doing, misled an authorized person to carry out an unlawful payment, thereby committing 
the offence of Fraud in Service  in violation of  Article 215, (1) and (2) of the Ko sovo 
Criminal Code (KCC) punishable by imprisonment of o ne to ten years 
 
{equivalent to Fraud in Office  contrary to Article 341 (1) and (2) of Provisional Kosovo 
Criminal Code (PCCK)}; 
 
and Complicity, in violation of Article 22 of Criminal Code of SFRY ,( equivalent to   Co-
Perpetration , in violation of PCCK Article 23) 
 
",51.pdf,14 th march 2004,16 th march 2004
16 th  March 2004,Fraud,"Count 1   
 
That between the dates 14 th  March 2004 and 16 th  March 2004 inclusive, Official 1 and 
Official 2  acting in their capacity as officials of Airport Pr istina, and acting in complicity 
with the intention to obtain an unlawful material b enefit, presented a representative of the 
Company with a false statement of account claiming reduced storage fees, and in so 
doing, misled an authorized person to carry out an unlawful payment, thereby committing 
the offence of Fraud in Service  in violation of  Article 215, (1) and (2) of the Ko sovo 
Criminal Code (KCC) punishable by imprisonment of o ne to ten years 
 
{equivalent to Fraud in Office  contrary to Article 341 (1) and (2) of Provisional Kosovo 
Criminal Code (PCCK)}; 
 
and Complicity, in violation of Article 22 of Criminal Code of SFRY ,( equivalent to   Co-
Perpetration , in violation of PCCK Article 23) 
 
",51.pdf,16 th march 2004,fraud
KCC,"ten years 
 
","Count 1   
 
That between the dates 14 th  March 2004 and 16 th  March 2004 inclusive, Official 1 and 
Official 2  acting in their capacity as officials of Airport Pr istina, and acting in complicity 
with the intention to obtain an unlawful material b enefit, presented a representative of the 
Company with a false statement of account claiming reduced storage fees, and in so 
doing, misled an authorized person to carry out an unlawful payment, thereby committing 
the offence of Fraud in Service  in violation of  Article 215, (1) and (2) of the Ko sovo 
Criminal Code (KCC) punishable by imprisonment of o ne to ten years 
 
{equivalent to Fraud in Office  contrary to Article 341 (1) and (2) of Provisional Kosovo 
Criminal Code (PCCK)}; 
 
and Complicity, in violation of Article 22 of Criminal Code of SFRY ,( equivalent to   Co-
Perpetration , in violation of PCCK Article 23) 
 
",51.pdf,kcc,ten years
"ten years 
 
",Fraud,"Count 1   
 
That between the dates 14 th  March 2004 and 16 th  March 2004 inclusive, Official 1 and 
Official 2  acting in their capacity as officials of Airport Pr istina, and acting in complicity 
with the intention to obtain an unlawful material b enefit, presented a representative of the 
Company with a false statement of account claiming reduced storage fees, and in so 
doing, misled an authorized person to carry out an unlawful payment, thereby committing 
the offence of Fraud in Service  in violation of  Article 215, (1) and (2) of the Ko sovo 
Criminal Code (KCC) punishable by imprisonment of o ne to ten years 
 
{equivalent to Fraud in Office  contrary to Article 341 (1) and (2) of Provisional Kosovo 
Criminal Code (PCCK)}; 
 
and Complicity, in violation of Article 22 of Criminal Code of SFRY ,( equivalent to   Co-
Perpetration , in violation of PCCK Article 23) 
 
",51.pdf,ten years,fraud
Fraud,PCCK,"Count 1   
 
That between the dates 14 th  March 2004 and 16 th  March 2004 inclusive, Official 1 and 
Official 2  acting in their capacity as officials of Airport Pr istina, and acting in complicity 
with the intention to obtain an unlawful material b enefit, presented a representative of the 
Company with a false statement of account claiming reduced storage fees, and in so 
doing, misled an authorized person to carry out an unlawful payment, thereby committing 
the offence of Fraud in Service  in violation of  Article 215, (1) and (2) of the Ko sovo 
Criminal Code (KCC) punishable by imprisonment of o ne to ten years 
 
{equivalent to Fraud in Office  contrary to Article 341 (1) and (2) of Provisional Kosovo 
Criminal Code (PCCK)}; 
 
and Complicity, in violation of Article 22 of Criminal Code of SFRY ,( equivalent to   Co-
Perpetration , in violation of PCCK Article 23) 
 
",51.pdf,fraud,pcck
PCCK,Complicity,"Count 1   
 
That between the dates 14 th  March 2004 and 16 th  March 2004 inclusive, Official 1 and 
Official 2  acting in their capacity as officials of Airport Pr istina, and acting in complicity 
with the intention to obtain an unlawful material b enefit, presented a representative of the 
Company with a false statement of account claiming reduced storage fees, and in so 
doing, misled an authorized person to carry out an unlawful payment, thereby committing 
the offence of Fraud in Service  in violation of  Article 215, (1) and (2) of the Ko sovo 
Criminal Code (KCC) punishable by imprisonment of o ne to ten years 
 
{equivalent to Fraud in Office  contrary to Article 341 (1) and (2) of Provisional Kosovo 
Criminal Code (PCCK)}; 
 
and Complicity, in violation of Article 22 of Criminal Code of SFRY ,( equivalent to   Co-
Perpetration , in violation of PCCK Article 23) 
 
",51.pdf,pcck,complicity
Complicity,SFRY,"Count 1   
 
That between the dates 14 th  March 2004 and 16 th  March 2004 inclusive, Official 1 and 
Official 2  acting in their capacity as officials of Airport Pr istina, and acting in complicity 
with the intention to obtain an unlawful material b enefit, presented a representative of the 
Company with a false statement of account claiming reduced storage fees, and in so 
doing, misled an authorized person to carry out an unlawful payment, thereby committing 
the offence of Fraud in Service  in violation of  Article 215, (1) and (2) of the Ko sovo 
Criminal Code (KCC) punishable by imprisonment of o ne to ten years 
 
{equivalent to Fraud in Office  contrary to Article 341 (1) and (2) of Provisional Kosovo 
Criminal Code (PCCK)}; 
 
and Complicity, in violation of Article 22 of Criminal Code of SFRY ,( equivalent to   Co-
Perpetration , in violation of PCCK Article 23) 
 
",51.pdf,complicity,sfry
SFRY,PCCK,"Count 1   
 
That between the dates 14 th  March 2004 and 16 th  March 2004 inclusive, Official 1 and 
Official 2  acting in their capacity as officials of Airport Pr istina, and acting in complicity 
with the intention to obtain an unlawful material b enefit, presented a representative of the 
Company with a false statement of account claiming reduced storage fees, and in so 
doing, misled an authorized person to carry out an unlawful payment, thereby committing 
the offence of Fraud in Service  in violation of  Article 215, (1) and (2) of the Ko sovo 
Criminal Code (KCC) punishable by imprisonment of o ne to ten years 
 
{equivalent to Fraud in Office  contrary to Article 341 (1) and (2) of Provisional Kosovo 
Criminal Code (PCCK)}; 
 
and Complicity, in violation of Article 22 of Criminal Code of SFRY ,( equivalent to   Co-
Perpetration , in violation of PCCK Article 23) 
 
",51.pdf,sfry,pcck
"8,000.00 Euros","32,800.0 0","8,000.00 Euros) from th e Company, amount which was 
allegedly decreased from an initial sum of 32,800.0 0 Euros to be paid to the Airport for 
storage fees for goods kept in the Cargo section of  the Airport from 24.12.03 until 
15.3.2004, thereby committing the offence of Embezzlement , in violation of Article 219 
para.",51.pdf,800000 euros,328000 0
"32,800.0 0",Euros,"8,000.00 Euros) from th e Company, amount which was 
allegedly decreased from an initial sum of 32,800.0 0 Euros to be paid to the Airport for 
storage fees for goods kept in the Cargo section of  the Airport from 24.12.03 until 
15.3.2004, thereby committing the offence of Embezzlement , in violation of Article 219 
para.",51.pdf,328000 0,euros
KCC,"one to ten years 
 
","1 and 3 of the KCC punishable by imprisonment  of one to ten years 
 
(equivalent to Misappropriation in Office , in violation of Article 340, (1) and (3) of the 
PCCK) 
 
and  Complicity, in violation of Article 22 of Criminal Code of SFRY  ( equivalent Co -
Perpetration , in violation of PCCK Article 23.) 
 
 
",51.pdf,kcc,one to ten years
"one to ten years 
 
",Misappropriation in Office,"1 and 3 of the KCC punishable by imprisonment  of one to ten years 
 
(equivalent to Misappropriation in Office , in violation of Article 340, (1) and (3) of the 
PCCK) 
 
and  Complicity, in violation of Article 22 of Criminal Code of SFRY  ( equivalent Co -
Perpetration , in violation of PCCK Article 23.) 
 
 
",51.pdf,one to ten years,misappropriation in office
Misappropriation in Office,PCCK,"1 and 3 of the KCC punishable by imprisonment  of one to ten years 
 
(equivalent to Misappropriation in Office , in violation of Article 340, (1) and (3) of the 
PCCK) 
 
and  Complicity, in violation of Article 22 of Criminal Code of SFRY  ( equivalent Co -
Perpetration , in violation of PCCK Article 23.) 
 
 
",51.pdf,misappropriation in office,pcck
16 th  March 2004,Company,"Count 3  
 
That between the dates 14 th  March 2004 and 16 th  March 2004 inclusive Official 1 and 
Official 2 acting in complicity, with the intention  to inflict damage to a business 
organization, abused their official position and ex ceeded the limits of their authorization 
and did not execute their official duties, by faili ng to collect, on behalf of their employer, 
the appropriate storage fee from the Company , and depriving the airport of that amount , 
thereby  committing the criminal offence of Abusing Official Position of Authority  in 
violation of Article 339 para.",51.pdf,16 th march 2004,company
eight years,Abuse of Office,"1 and 3 of PCCK, pun ishable by imprisonment of one to 
eight years   
 (equivalent to Abuse of Office  in violation of Article 210 (1) and (3) 
 
and  Co-Perpetration , in violation of PCCK Article 23. 
 
 
",51.pdf,eight years,abuse of office
Abuse of Office,Co-Perpetration,"1 and 3 of PCCK, pun ishable by imprisonment of one to 
eight years   
 (equivalent to Abuse of Office  in violation of Article 210 (1) and (3) 
 
and  Co-Perpetration , in violation of PCCK Article 23. 
 
 
",51.pdf,abuse of office,co-perpetration
Co-Perpetration,PCCK,"1 and 3 of PCCK, pun ishable by imprisonment of one to 
eight years   
 (equivalent to Abuse of Office  in violation of Article 210 (1) and (3) 
 
and  Co-Perpetration , in violation of PCCK Article 23. 
 
 
",51.pdf,co-perpetration,pcck
UNMIK Pillar,the Department of Justice,"The ITF offers the following recommendations: 
Recommendation 1 : The ITF recommends that UNMIK Pillar IV take no ad ministrative 
action against Official 1 and Official 2 pending th e resolution of their respective cases by 
the Department of Justice (IV04/192/01). 
",51.pdf,unmik pillar,the department of justice
ITF,UNMIK Pillar IV,"Recommendation 2 :  The ITF recommends that UNMIK Pillar IV take appr opriate 
disciplinary action against Official 1 if he/she is  not criminally charged or sentenced by 
the competent authorities (IV04/192/02). 
",51.pdf,itf,unmik pillar iv
STRICTLY,"UNITED NATIONS  
 
 
 
 
 
 
Investigation Task Force","STRICTLY CONFIDENTIAL  
 
 
 
 
 
 
 
 
 
UNITED NATIONS  
 
 
 
 
 
 
Investigation Task Force 
Kosovo 
 
 
 
 
 
 
 
 
 
REDACTED 
REPORT OF INVESTIGATION 
 
CASE NO. 0049-04 
 
 
 
 
 
 
 
 
 
 1 of 12    
UNITED NATIONS  
United Nations Interim 
Administration Mission 
",2.pdf,strictly,united nations investigation task force
"UNITED NATIONS  
 
 
 
 
 
 
Investigation Task Force",0049-04,"STRICTLY CONFIDENTIAL  
 
 
 
 
 
 
 
 
 
UNITED NATIONS  
 
 
 
 
 
 
Investigation Task Force 
Kosovo 
 
 
 
 
 
 
 
 
 
REDACTED 
REPORT OF INVESTIGATION 
 
CASE NO. 0049-04 
 
 
 
 
 
 
 
 
 
 1 of 12    
UNITED NATIONS  
United Nations Interim 
Administration Mission 
",2.pdf,united nations investigation task force,0049-04
Kosovo,"Intérimaire des Nations 
Unies","In Kosovo   
UNMIK  NATIONS UNIES  
Mission d’Administration 
Intérimaire des Nations 
Unies au",2.pdf,republic of kosovo,intérimaire des nations unies
"Kosovo  
 
 Investigation Task Force",December 2004,"Kosovo  
 
 Investigation Task Force  
 
 
                                                                                                       17 December 2004                 
 
 
Case 0049/04  
 
 
I. INTRODUCTION  
 
1.",2.pdf,kosovo investigation task force,december 2004
The Investigation Task Force,Kosovo,"The Investigation Task Force (ITF) Kosovo, condu cted an investigation into 
the circumstances surrounding frequent cash withdra wals made from the bank 
account of Air Traffic Control Services (ATCS), Pri shtina International Airport.  ",2.pdf,the investigation task force,republic of kosovo
Kosovo,withdra,"The Investigation Task Force (ITF) Kosovo, condu cted an investigation into 
the circumstances surrounding frequent cash withdra wals made from the bank 
account of Air Traffic Control Services (ATCS), Pri shtina International Airport.  ",2.pdf,republic of kosovo,withdra
withdra,Air Traffic Control Services,"The Investigation Task Force (ITF) Kosovo, condu cted an investigation into 
the circumstances surrounding frequent cash withdra wals made from the bank 
account of Air Traffic Control Services (ATCS), Pri shtina International Airport.  ",2.pdf,withdra,air traffic control services
Air Traffic Control Services,Pri,"The Investigation Task Force (ITF) Kosovo, condu cted an investigation into 
the circumstances surrounding frequent cash withdra wals made from the bank 
account of Air Traffic Control Services (ATCS), Pri shtina International Airport.  ",2.pdf,air traffic control services,pri
2003,"the Chartered 
Accountants","This 
investigation was triggered by a forensic audit rep ort of Public Enterprise Airport 
Prishtina (PEAP) and ATCS that was released in Febr uary 2003 by the Chartered 
Accountants.",2.pdf,2003,the chartered accountants
the Prishtina Airpor,Kosovo Trust Agency,"The activities of the Prishtina Airpor t fall under the control of the 
Kosovo Trust Agency and UNMIK Pillar IV, which is a dministered by the European 
Union.",2.pdf,the prishtina airpor,kosovo trust agency
Kosovo Trust Agency,UNMIK Pillar IV,"The activities of the Prishtina Airpor t fall under the control of the 
Kosovo Trust Agency and UNMIK Pillar IV, which is a dministered by the European 
Union.",2.pdf,kosovo trust agency,unmik pillar iv
UNMIK Pillar IV,"the European 
Union","The activities of the Prishtina Airpor t fall under the control of the 
Kosovo Trust Agency and UNMIK Pillar IV, which is a dministered by the European 
Union.",2.pdf,unmik pillar iv,the european union
UNMIK,the Provisional Institutions,"Investigations into allegations of fraud and  corruption involving UNMIK, its 
pillars and other organizational structures as well  as the Provisional Institutions of 
Self-Government (PISG) and independent bodies and o ffices established pursuant to 
the Constitutional Framework for Provisional Self-G overnment in Kosovo fall 
within the purview of ITF as laid out by the Execut ive Decision on the Establishment 
of the Investigation Task Force UNMIK/ED/2003/16, d ated 21 October 2003. 
 
 
",2.pdf,unmik,the provisional institutions
the Provisional Institutions,Self-Government,"Investigations into allegations of fraud and  corruption involving UNMIK, its 
pillars and other organizational structures as well  as the Provisional Institutions of 
Self-Government (PISG) and independent bodies and o ffices established pursuant to 
the Constitutional Framework for Provisional Self-G overnment in Kosovo fall 
within the purview of ITF as laid out by the Execut ive Decision on the Establishment 
of the Investigation Task Force UNMIK/ED/2003/16, d ated 21 October 2003. 
 
 
",2.pdf,the provisional institutions,self-government
Self-Government,PISG,"Investigations into allegations of fraud and  corruption involving UNMIK, its 
pillars and other organizational structures as well  as the Provisional Institutions of 
Self-Government (PISG) and independent bodies and o ffices established pursuant to 
the Constitutional Framework for Provisional Self-G overnment in Kosovo fall 
within the purview of ITF as laid out by the Execut ive Decision on the Establishment 
of the Investigation Task Force UNMIK/ED/2003/16, d ated 21 October 2003. 
 
 
",2.pdf,self-government,pisg
PISG,the Constitutional Framework for Provisional Self-G,"Investigations into allegations of fraud and  corruption involving UNMIK, its 
pillars and other organizational structures as well  as the Provisional Institutions of 
Self-Government (PISG) and independent bodies and o ffices established pursuant to 
the Constitutional Framework for Provisional Self-G overnment in Kosovo fall 
within the purview of ITF as laid out by the Execut ive Decision on the Establishment 
of the Investigation Task Force UNMIK/ED/2003/16, d ated 21 October 2003. 
 
 
",2.pdf,pisg,the constitutional framework for provisional self-g
the Constitutional Framework for Provisional Self-G,Kosovo,"Investigations into allegations of fraud and  corruption involving UNMIK, its 
pillars and other organizational structures as well  as the Provisional Institutions of 
Self-Government (PISG) and independent bodies and o ffices established pursuant to 
the Constitutional Framework for Provisional Self-G overnment in Kosovo fall 
within the purview of ITF as laid out by the Execut ive Decision on the Establishment 
of the Investigation Task Force UNMIK/ED/2003/16, d ated 21 October 2003. 
 
 
",2.pdf,the constitutional framework for provisional self-g,republic of kosovo
Kosovo,the Investigation Task Force UNMIK/ED/2003/16,"Investigations into allegations of fraud and  corruption involving UNMIK, its 
pillars and other organizational structures as well  as the Provisional Institutions of 
Self-Government (PISG) and independent bodies and o ffices established pursuant to 
the Constitutional Framework for Provisional Self-G overnment in Kosovo fall 
within the purview of ITF as laid out by the Execut ive Decision on the Establishment 
of the Investigation Task Force UNMIK/ED/2003/16, d ated 21 October 2003. 
 
 
",2.pdf,republic of kosovo,the investigation task force unmiked200316
the Investigation Task Force UNMIK/ED/2003/16,October 2003,"Investigations into allegations of fraud and  corruption involving UNMIK, its 
pillars and other organizational structures as well  as the Provisional Institutions of 
Self-Government (PISG) and independent bodies and o ffices established pursuant to 
the Constitutional Framework for Provisional Self-G overnment in Kosovo fall 
within the purview of ITF as laid out by the Execut ive Decision on the Establishment 
of the Investigation Task Force UNMIK/ED/2003/16, d ated 21 October 2003. 
 
 
",2.pdf,the investigation task force unmiked200316,october 2003
United Nations Security Co,1999,"Pursuant to the authority given to The Special R epresentative of the 
Secretary-General, under United Nations Security Co uncil resolution 1244 (1999)  of 
10 June 1999, taking into account United Nations",2.pdf,united nations security co,1999
1999,10 June 1999,"Pursuant to the authority given to The Special R epresentative of the 
Secretary-General, under United Nations Security Co uncil resolution 1244 (1999)  of 
10 June 1999, taking into account United Nations",2.pdf,1999,10 june 1999
Kosovo,UNMIK,"In terim Administration Mission in 
Kosovo (UNMIK)",2.pdf,republic of kosovo,unmik
25 July 1999,Authority,"No. 1999/ 1 of 25 July 1999 on the Authority of the 
Interim Administration in Kosovo, for the purpose o f defining the law applicable in 
Kosovo, the SRSG promulgated that the law applicabl e in Kosovo shall be: 
  
a)  ",2.pdf,25 july 1999,authority
Authority,Kosovo,"No. 1999/ 1 of 25 July 1999 on the Authority of the 
Interim Administration in Kosovo, for the purpose o f defining the law applicable in 
Kosovo, the SRSG promulgated that the law applicabl e in Kosovo shall be: 
  
a)  ",2.pdf,authority,republic of kosovo
Kosovo,22 March 1989,"The law in force in Kosovo on 22 March 1989. 
 
",2.pdf,republic of kosovo,22 march 1989
KTA,UNMIK Regulation,"With regards to performance and conduct of the empl oyees of KTA, the 
following UNMIK Regulation shall apply:  
 
UNMIK Regulation No. 2001/27, Dated 8 October 2001-  On Essential Labour 
Law In Kosovo - Section",2.pdf,kta,unmik regulation
UNMIK Regulation,8 October,"With regards to performance and conduct of the empl oyees of KTA, the 
following UNMIK Regulation shall apply:  
 
UNMIK Regulation No. 2001/27, Dated 8 October 2001-  On Essential Labour 
Law In Kosovo - Section",2.pdf,unmik regulation,8 october
"Between July 
2002",November 2003,"Between July 
2002 and November 2003, an amount of €642.000 was w ithdrawn in cash.  ",2.pdf,between july 2002,november 2003
November 2003,642.000,"Between July 
2002 and November 2003, an amount of €642.000 was w ithdrawn in cash.  ",2.pdf,november 2003,642000
day,the ATCS Finance Office,"The ATCS Official was in charge of the De partment, which included day-
to-day management of the ATCS Finance Office.  ",2.pdf,day,the atcs finance office
Finance,ATC S,"It should be also mentioned t hat the ATCS Official, Finance 
 3 of 12   Officer 1 and Finance Officer 2 were working at ATC S prior to the arrival of the 
Division Manager.   
 
 
",2.pdf,finance,atc s
2002,2003,"D uring this investigation the ITF 
Investigators: 
 
• Reviewed existing procedures related to the cash wi thdrawals in 2002 and 
2003 in view of establishing whether those procedur es were properly 
followed and enforced by the management of ATCS; 
 
• Examined ATCS bank account and related records; 
 
• Examined the cash withdrawal requests, supporting d ocumentation, and 
receipts including airline tickets, hotel bills, an d other receipts; 
 
• Reviewed the so-called petty cash files and related  documentation; 
 
•",2.pdf,2002,2003
2003,ATCS,"D uring this investigation the ITF 
Investigators: 
 
• Reviewed existing procedures related to the cash wi thdrawals in 2002 and 
2003 in view of establishing whether those procedur es were properly 
followed and enforced by the management of ATCS; 
 
• Examined ATCS bank account and related records; 
 
• Examined the cash withdrawal requests, supporting d ocumentation, and 
receipts including airline tickets, hotel bills, an d other receipts; 
 
• Reviewed the so-called petty cash files and related  documentation; 
 
•",2.pdf,2003,atcs
mid-2002,Division,"(Note: the “excel” spr eadsheet system has been 
in place since mid-2002 and is used to maintain a “ cashbook”); 
 
• Interviewed ATCS staff, in particular the Division Manager; the ATCS 
Officials; and Finance Officers 1 and 2. ITF Invest igators also interviewed 
Official 1 at Prishtina Airport, and the Official 2  at Prishtina Airport.  
 
",2.pdf,mid-2002,division
Division,Invest,"(Note: the “excel” spr eadsheet system has been 
in place since mid-2002 and is used to maintain a “ cashbook”); 
 
• Interviewed ATCS staff, in particular the Division Manager; the ATCS 
Officials; and Finance Officers 1 and 2. ITF Invest igators also interviewed 
Official 1 at Prishtina Airport, and the Official 2  at Prishtina Airport.  
 
",2.pdf,division,invest
the ATCS Finance Office,Italy,"Having finalized the document review they interviewed 
available ATCS staff that was directly involved in approving the cash withdrawals 
and subsequently ATCS staff that handled the cash a nd related documentation at 
 4 of 12   the ATCS Finance Office, or that travelled on train ing to Italy and the United 
Kingdom.   
 
8.  ",2.pdf,the atcs finance office,italy
Italy,"the United 
Kingdom","Having finalized the document review they interviewed 
available ATCS staff that was directly involved in approving the cash withdrawals 
and subsequently ATCS staff that handled the cash a nd related documentation at 
 4 of 12   the ATCS Finance Office, or that travelled on train ing to Italy and the United 
Kingdom.   
 
8.  ",2.pdf,italy,the united kingdom
ITF,Finance,"The ITF interviewed Finance Officer 1, working at ATCS Finance Office 
during the period September 2000 to December 2003.",2.pdf,itf,finance
Finance,ATCS Finance Office,"The ITF interviewed Finance Officer 1, working at ATCS Finance Office 
during the period September 2000 to December 2003.",2.pdf,finance,atcs finance office
ATCS Finance Office,the period September 2000 to December 2003,"The ITF interviewed Finance Officer 1, working at ATCS Finance Office 
during the period September 2000 to December 2003.",2.pdf,atcs finance office,the period september 2000 to december 2003
2003,Division,"Finance Officer 1 described the 
procedures that were in place during 2002 and 2003 and identified Employee 1, 
Employee 2 and the Division Manager as “A” class si gnatories and Employee 3, 
Employee 4, Employee 5 and the ATCS Official as “B”  class signatories for the 
UNMIK Aviation Transport and Airport Prishtina bank  accounts.",2.pdf,2003,division
Division,UNMIK Aviation Transport,"Finance Officer 1 described the 
procedures that were in place during 2002 and 2003 and identified Employee 1, 
Employee 2 and the Division Manager as “A” class si gnatories and Employee 3, 
Employee 4, Employee 5 and the ATCS Official as “B”  class signatories for the 
UNMIK Aviation Transport and Airport Prishtina bank  accounts.",2.pdf,division,unmik aviation transport
UNMIK Aviation Transport,Airport Prishtina,"Finance Officer 1 described the 
procedures that were in place during 2002 and 2003 and identified Employee 1, 
Employee 2 and the Division Manager as “A” class si gnatories and Employee 3, 
Employee 4, Employee 5 and the ATCS Official as “B”  class signatories for the 
UNMIK Aviation Transport and Airport Prishtina bank  accounts.",2.pdf,unmik aviation transport,airport prishtina
Divisi,the ATCS Finance,"Finance Officer 1 also confirmed that the Divisi on Manager and the ATCS 
Official supervised the work of the ATCS Finance Of fice.",2.pdf,divisi,the atcs finance
Finance,Finance Offi,"He/she further indicated 
that whenever there was a requirement for a larger cash payment, (for example, an 
official travel), Finance Officer 1 or Finance Offi cer 2 would prepare a “request for 
cash withdrawal” that would be signed by the ATCS O fficial and subsequently 
assessed and approved by the Division Manager. 
 
",2.pdf,finance,finance offi
Finance Offi,Division,"He/she further indicated 
that whenever there was a requirement for a larger cash payment, (for example, an 
official travel), Finance Officer 1 or Finance Offi cer 2 would prepare a “request for 
cash withdrawal” that would be signed by the ATCS O fficial and subsequently 
assessed and approved by the Division Manager. 
 
",2.pdf,finance offi,division
2002,1 July 2002,"Finance Officer 1 was given the opportunity to review documentation related 
to the travel of ATCS staff in 2002 prior to the ta keover of the ATCS by UNMIK 
Pillar 4 – KTA on 1 July 2002.",2.pdf,2002,1 july 2002
Finance,the ATCS Finance Office,"The ITF interviewed Finance Officer 2, working at the ATCS Finance Office, 
who stated he/she has been employed by the ATCS sin ce 01 April 2002.",2.pdf,finance,the atcs finance office
the ATCS Finance Office,01 April 2002,"The ITF interviewed Finance Officer 2, working at the ATCS Finance Office, 
who stated he/she has been employed by the ATCS sin ce 01 April 2002.",2.pdf,the atcs finance office,01 april 2002
relat ed,01 July 2002,"Finance Officer 2 was shown documentation relat ed to the travel of the ATCS 
staff after 01 July 2002, when the ATCS was taken o ver by the UNMIK Pillar 4 - 
KTA.",2.pdf,relat ed,01 july 2002
UNMIK Pillar 2,KTA,"Finance Officer 2 identified that the lack of documentation that was obvious 
during the time period when UNMIK Pillar 2 handled Prishtina Airport, remained 
the same under KTA management.",2.pdf,unmik pillar 2,kta
Euro,over €500,"The sums per invoice/bill paid from the 
so-called petty cash were anywhere between several Euro to over €500.  
 
",2.pdf,euro,over 500
Nokia 8850,the ATC S Official and Official,"These bills were in 
particular, €525,00  “Present for International Sta ff”; €410,00  “Present for Official 3 
(Nokia 8850)”; €918,00  “Palm organizer for the ATC S Official and Official 3” and 
€1.176,00  “Recharging scratch cards VALA 900 (20*2 3.52) + (12*58.8)”; €960,00  
“Payment for mobile phone” and €940,00  “Rent a car  for the ATCS Official”. 
",2.pdf,nokia 8850,the atc s official and official
